time_day,TCE_zone1_x17_5_mg_L,TCE_zone2_x2_mg_L,cDCE_zone2_x2_mg_L,VC_zone2_x2_mg_L,TCE_zone2_x15_mg_L,cDCE_zone2_x15_mg_L,VC_zone2_x15_mg_L,TCE_zone2_x28_mg_L,cDCE_zone2_x28_mg_L,VC_zone2_x28_mg_L,source_mass_mg,source_active
4.86,14.8809319436706,0,0,0,0,0,0,0,0,0,975754747.220844,1
4.89,14.9110037298631,0,0,0,0,0,0,0,0,0,975605354.55072,1
4.92,14.9410748123758,0,0,0,0,0,0,0,0,0,975455965.157504,1
4.95,14.9711451912252,0,0,0,0,0,0,0,0,0,975306579.040679,1
4.98,15.0012148664278,0,0,0,0,0,0,0,0,0,975157196.199725,1
5.01,15.0312838379999,0,0,0,0,0,0,0,0,0,975007816.634124,1
5.04,15.0613521059581,0,0,0,0,0,0,0,0,0,974858440.343356,1
5.07,15.0914196703188,0,0,0,0,0,0,0,0,0,974709067.326903,1
5.1,15.1214865310985,0,0,0,0,0,0,0,0,0,974559697.584246,1
5.13,15.1515526883137,0,0,0,0,0,0,0,0,0,974410331.114865,1
5.16,15.1816181419808,0,0,0,0,0,0,0,0,0,974260967.918243,1
5.19,15.2116828921163,0,0,0,0,0,0,0,0,0,974111607.993861,1
5.22,15.2417469387366,0,0,0,0,0,0,0,0,0,973962251.341199,1
5.25,15.2718102818582,0,0,0,0,0,0,0,0,0,973812897.959739,1
5.28,15.3018729214976,0,0,0,0,0,0,0,0,0,973663547.848963,1
5.31,15.3319348576713,0,0,0,0,0,0,0,0,0,973514201.008351,1
5.34,15.3619960903956,0,0,0,0,0,0,0,0,0,973364857.437385,1
5.37,15.3920566196871,0,0,0,0,0,0,0,0,0,973215517.135546,1
5.4,15.4221164455622,0,0,0,0,0,0,0,0,0,973066180.102316,1
5.43,15.4521755680374,0,1.34311674293314e-12,0,0,0,0,0,0,0,972916846.337176,1
5.46,15.4822339871291,0,1.81875603883296e-12,0,0,0,0,0,0,0,972767515.839607,1
5.49,15.5122917028538,0,2.45489940504233e-12,0,0,0,0,0,0,0,972618188.609092,1
5.52,15.5423487152279,1.19723825562855e-12,3.30302168110994e-12,0,0,0,0,0,0,0,972468864.645111,1
5.55,15.572405024268,1.58324533111588e-12,4.4302384426327e-12,0,0,0,0,0,0,0,972319543.947145,1
5.58,15.6024606299904,2.08738123713947e-12,5.92379201649365e-12,0,0,0,0,0,0,0,972170226.514678,1
